order_item_id,order_id,product_id,quantity,unit_price
1,148,16,4,149.31
2,188,127,1,225.99
3,136,138,1,71.51
4,23,58,2,311.44
5,27,80,2,128.98
6,5,25,1,463.52
7,67,5,2,419.48
8,119,134,5,122.99
9,27,90,4,435.42
10,12,70,2,65.91
11,150,129,4,381.95
12,32,32,1,205.8
13,139,152,2,117.58
14,38,172,2,288.56
15,43,5,4,469.1
16,178,108,4,300.53
17,135,10,5,200.84
18,199,93,1,172.58
19,215,86,2,359.19
20,206,83,0,408.45
21,14,84,5,261.1
22,64,109,3,333.24
23,94,28,1,267.75
24,84,111,1,104.39
25,58,36,1,213.26
26,199,117,4,318.44
27,9,165,1,312.36
28,70,161,5,273.42
29,160,26,1,129.04
30,4,112,5,122.14
31,74,29,1,156.18
32,31,16,2,299.17
33,69,22,-2,235.88
34,38,113,5,66.34
35,227,76,2,458.22
36,74,71,5,125.48
37,190,140,1,147.15
38,157,178,4,287.24
39,52,141,4,356.63
40,229,141,0,155.33
41,121,80,4,20.33
42,57,49,3,258.66
43,150,102,4,10.88
44,42,62,3,165.36
45,126,70,3,145.99
46,76,15,2,387.2
47,142,18,2,304.93
48,113,169,3,35.7
49,214,113,4,180.29
50,134,58,1,494.71
51,107,87,2,335.78
52,173,52,2,310.07
53,211,133,3,52.05
54,69,162,4,355.73
55,106,27,2,7.14
56,150,31,5,251.45
57,39,107,5,425.72
58,224,160,3,305.63
59,219,116,4,347.86
59,186,91,0,149.99
61,135,143,4,299.73
62,2,128,3,193.43
63,48,138,3,155.5
64,112,148,2,191.61
65,23,85,2,165.31
66,215,63,-2,479.59
67,110,3,2,17.66
68,145,128,3,153.41
69,199,80,5,271.56
70,133,133,4,364.92
71,100,119,4,182.07
72,174,90,5,229.27
73,174,18,1,265.0
74,105,96,1,252.95
75,147,40,5,440.52
76,125,103,4,222.88
77,151,88,5,347.33
78,44,93,1,162.45
79,212,80,1,258.73
80,168,76,0,346.49
81,228,108,5,317.4
82,75,131,5,107.86
83,106,47,2,34.78
84,155,28,5,179.83
85,178,106,1,10.31
86,79,182,1,346.9
87,78,102,1,421.87
88,4,172,5,19.62
89,128,142,2,285.68
90,132,37,5,289.36
91,155,32,4,76.95
92,195,131,5,57.79
93,20,44,1,474.18
94,211,120,4,308.44
95,167,4,1,343.86
96,83,37,5,359.15
97,71,44,3,21.28
98,220,150,1,36.2
99,116,160,-2,195.9
