payment_id,order_id,payment_date,amount,currency,status,payment_method
1,62,2026-03-02,233.28,EUR,Refunded,PayPal
2,21,2026-03-03,54.87,eur,PAID,Card
3,2,2026-03-04,649.48,Usd,Refunded,Card
4,8,2026-03-05,223.8,EUR,FAILED,Card
5,104,2026-03-06,264.02,EUR,paid,PayPal
6,15,2026-03-07,546.38,Usd,Refunded,Cash
7,199,2026-03-08,639.05,EUR,FAILED,Cash
8,119,2026-03-09,790.38,EURO,FAILED,Card
9,15,2026-03-10,30.34,Usd,FAILED,Cash
10,24,2026-03-11,495.03,Usd,Refunded,Card
11,92,2026-03-12,133.39,eur,PAID,Cash
12,59,2026-03-13,344.35,eur,FAILED,PayPal
13,199,2026-03-14,498.75,EURO,PAID,PayPal
14,93,2026-03-15,254.31,EURO,FAILED,PayPal
15,65,2026-03-16,428.41,Usd,Refunded,Card
16,39,2026-03-17,450.92,EUR,FAILED,PayPal
17,160,2026-03-18,190.25,EUR,PAID,Card
18,67,2026-03-19,106.56,eur,Refunded,PayPal
19,223,2026-03-20,298.83,eur,Refunded,PayPal
20,90,2026-03-21,685.99,eur,PAID,PayPal
21,163,2026-03-22,201.64,EURO,Refunded,Cash
22,55,2026-03-23,721.81,EURO,paid,Cash
23,169,2026-03-24,633.96,EUR,PAID,PayPal
24,16,2026-03-25,-22.19,EURO,FAILED,Card
25,169,2026-03-26,455.72,EURO,paid,PayPal
26,6,2026-03-27,689.66,EUR,FAILED,Cash
27,91,2026-99-01,570.32,eur,Refunded,Card
28,77,2026-03-01,267.58,EURO,FAILED,Cash
29,221,2026-03-02,181.12,eur,paid,Cash
30,73,2026-03-03,763.87,eur,FAILED,Card
31,42,2026-03-04,271.91,EURO,Refunded,Cash
32,149,2026-03-05,549.39,EURO,Refunded,Card
33,12,2026-03-06,707.46,eur,FAILED,Cash
34,176,2026-03-07,154.01,eur,FAILED,Card
35,35,2026-03-08,645.97,eur,PAID,Cash
36,193,2026-03-09,129.13,Usd,PAID,Card
37,107,2026-03-10,376.94,EURO,PAID,Cash
38,230,2026-03-11,517.31,EURO,FAILED,Card
39,10,2026-03-12,472.37,eur,PAID,Card
40,179,2026-03-13,408.78,eur,paid,Card
41,17,2026-03-14,585.52,EUR,FAILED,Card
42,135,2026-03-15,105.17,EURO,Refunded,Cash
43,163,2026-03-16,12.03,eur,Refunded,PayPal
44,215,2026-03-17,440.96,EUR,FAILED,Cash
45,56,2026-03-18,766.22,EUR,FAILED,Card
46,4,2026-03-19,587.8,Usd,Refunded,Cash
47,131,2026-03-20,222.51,EUR,Refunded,Card
48,3,2026-03-21,-332.42,Usd,FAILED,Cash
49,141,2026-03-22,553.63,EURO,FAILED,Cash
50,109,2026-03-23,555.33,Usd,paid,Cash
51,100,2026-03-24,436.6,EURO,Refunded,Cash
52,62,2026-03-25,706.53,eur,PAID,PayPal
53,62,2026-03-26,405.83,Usd,paid,Card
54,184,2026-99-01,534.11,EUR,PAID,Card
54,141,2026-03-28,330.6,Usd,paid,PayPal
56,192,2026-03-01,259.34,EUR,paid,PayPal
57,61,2026-03-02,684.24,Usd,paid,PayPal
58,183,2026-03-03,635.18,EURO,FAILED,Card
59,19,2026-03-04,320.88,Usd,FAILED,PayPal
60,68,2026-03-05,639.88,eur,FAILED,Cash
61,147,2026-03-06,687.59,Usd,paid,Card
62,135,2026-03-07,799.53,EUR,FAILED,Card
63,173,2026-03-08,426.7,Usd,Refunded,Card
64,164,2026-03-09,130.44,EURO,Refunded,PayPal
65,98,2026-03-10,695.55,EUR,FAILED,Cash
66,105,2026-03-11,667.38,EURO,PAID,Card
67,94,2026-03-12,565.07,EURO,PAID,Cash
68,170,2026-03-13,533.77,Usd,paid,Card
69,178,2026-03-14,227.26,Usd,paid,Card
70,195,2026-03-15,364.96,EURO,Refunded,PayPal
71,126,2026-03-16,128.41,eur,FAILED,PayPal
72,206,2026-03-17,-531.61,Usd,FAILED,Cash
73,147,2026-03-18,209.76,eur,PAID,Cash
74,184,2026-03-19,55.61,eur,FAILED,PayPal
75,62,2026-03-20,226.93,Usd,FAILED,Cash
76,220,2026-03-21,668.97,EUR,paid,Card
77,159,2026-03-22,169.33,EURO,FAILED,Cash
78,94,2026-03-23,737.21,EURO,paid,Card
79,111,2026-03-24,572.9,Usd,paid,PayPal
80,62,2026-03-25,489.88,Usd,FAILED,Cash
81,219,2026-99-01,681.26,eur,Refunded,PayPal
82,85,2026-03-27,468.37,EUR,Refunded,Card
83,101,2026-03-28,73.15,EURO,paid,PayPal
84,152,2026-03-01,337.62,EUR,PAID,PayPal
85,107,2026-03-02,375.41,EURO,paid,Cash
86,102,2026-03-03,149.22,EUR,paid,Cash
87,190,2026-03-04,116.87,EUR,Refunded,Card
88,142,2026-03-05,327.33,EUR,FAILED,Cash
89,24,2026-03-06,617.69,EURO,PAID,Card
90,128,2026-03-07,679.83,EUR,PAID,Card
91,15,2026-03-08,680.04,eur,paid,PayPal
92,221,2026-03-09,167.87,Usd,paid,Card
93,105,2026-03-10,444.8,EURO,Refunded,Card
94,86,2026-03-11,698.83,eur,FAILED,Card
95,138,2026-03-12,419.39,EUR,Refunded,Cash
