order_id,customer_id,order_date,status
113,95,2026-02-02,completed
117,134,2026-02-06,new
122,161,2026-02-11,new
130,9,2026-02-19,new
146,147,2026-02-07,completed
166,87,2026-02-27,completed
188,161,2026-02-21,completed
189,57,2026-02-22,new
20,153,2026-02-21,new
213,89,2026-02-18,completed
214,127,2026-02-19,new
22,142,2026-02-23,completed
28,42,2026-02-01,completed
37,37,2026-02-10,completed
76,76,2026-02-21,completed
78,89,2026-02-23,completed
81,127,2026-02-26,completed
91,166,2026-02-08,new
