product_id,product_name,category,price,status
1,Product 1,Accessories,232.19,active
100,Product 100,Accessories,159.62,active
101,Product 101,Accessories,14.02,active
103,Product 103,Accessories,214.76,active
107,Product 107,Monitor,177.23,active
109,Product 109,Accessories,419.46,active
11,Product 11,Laptop,499.4,active
111,Product 111,Laptop,312.07,active
117,Product 117,Laptop,212.94,active
118,Product 118,Monitor,331.13,active
12,Product 12,Accessories,379.05,active
121,Product 121,Laptop,203.17,active
124,Product 124,Monitor,160.29,active
126,Product 126,Laptop,498.08,active
129,Product 129,Accessories,379.31,active
13,Product 13,Laptop,418.16,active
131,Product 131,Laptop,482.34,active
132,Product 132,Accessories,309.85,active
134,Product 134,Laptop,167.27,active
137,Product 137,Accessories,316.74,active
144,Product 144,Laptop,246.76,active
146,Product 146,Accessories,181.79,active
148,Product 148,Laptop,415.09,active
154,Product 154,Laptop,268.11,active
156,Product 156,Laptop,277.71,active
159,Product 159,Accessories,29.0,active
16,Product 16,Laptop,105.7,active
164,Product 164,Monitor,279.12,active
165,Product 165,Laptop,322.79,active
168,Product 168,Monitor,123.39,active
173,Product 173,Laptop,464.83,active
179,Product 179,Laptop,70.66,active
18,Product 18,Laptop,456.39,active
180,Product 180,Laptop,171.58,active
2,Product 2,Laptop,108.87,active
22,Product 22,Laptop,200.21,active
24,Product 24,Accessories,453.6,active
25,Product 25,Laptop,276.15,active
27,Product 27,Laptop,405.63,active
28,Product 28,Laptop,209.87,active
3,Product 3,Accessories,75.16,active
31,Product 31,Laptop,396.2,active
32,Product 32,Accessories,195.36,active
33,Product 33,Laptop,425.1,active
40,Product 40,Accessories,129.64,active
42,Product 42,Laptop,134.14,active
45,Product 45,Accessories,275.77,active
47,Product 47,Accessories,117.78,active
5,Product 5,Accessories,353.15,active
50,Product 50,Accessories,106.58,active
52,Product 52,Laptop,250.4,active
53,Product 53,Monitor,455.65,active
54,Product 54,Monitor,31.91,active
55,Product 55,Laptop,30.66,active
56,Product 56,Laptop,449.59,active
58,Product 58,Accessories,159.35,active
59,Product 59,Laptop,224.01,active
6,Product 6,Accessories,17.29,active
60,Product 60,Laptop,44.98,active
61,Product 61,Accessories,193.16,active
64,Product 64,Laptop,369.97,active
66,Product 66,Laptop,22.25,active
67,Product 67,Accessories,374.91,active
7,Product 7,Accessories,154.47,active
71,Product 71,Accessories,58.09,active
72,Product 72,Laptop,457.2,active
75,Product 75,Accessories,44.11,active
77,Product 77,Accessories,274.59,active
78,Product 78,Laptop,136.12,active
79,Product 79,Accessories,251.75,active
8,Product 8,Laptop,161.46,active
81,Product 81,Laptop,271.59,active
83,Product 83,Laptop,133.87,active
84,Product 84,Monitor,121.57,active
86,Product 86,Laptop,265.52,active
88,Product 88,Laptop,24.98,active
89,Product 89,Laptop,98.84,active
90,Product 90,Accessories,258.77,active
93,Product 93,Laptop,187.51,active
94,Product 94,Laptop,23.93,active
96,Product 96,Accessories,43.58,active
97,Product 97,Accessories,36.32,active
