product_id,product_name,category,total_units_sold,total_revenue
41,Product 41,Monitor,4,1991.36
108,Product 108,Laptop,4,1213.04
143,Product 143,Accessories,4,1198.92
10,Product 10,Laptop,5,1004.2
150,Product 150,Accessories,3,916.98
26,Product 26,Laptop,5,905.45
104,Product 104,Laptop,5,852.7
176,Product 176,Accessories,4,796.08
106,Product 106,Monitor,5,790.15
49,Product 49,Accessories,3,775.98
113,Product 113,Monitor,4,721.16
87,Product 87,Laptop,2,671.56
120,Product 120,Accessories,3,507.09
44,Product 44,Accessories,1,474.18
178,Product 178,Accessories,1,373.25
65,Product 65,Accessories,1,326.59
14,Product 14,Laptop,1,311.99
63,Product 63,Accessories,4,193.2
125,Product 125,Laptop,4,186.28
169,Product 169,Laptop,3,107.1
99,Product 99,Accessories,3,57.63
4,Product 4,Monitor,3,51.78
