source_file,source_row_number,record_key,invalid_reasons,processed_at,raw_order_item_id,raw_order_id,raw_product_id,raw_quantity,raw_unit_price
order_items_raw.csv,2,1,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,1,148,16,4,149.31
order_items_raw.csv,3,2,product_id does not exist in trusted products,2026-08-06T09:37:35.194035Z,2,188,127,1,225.99
order_items_raw.csv,4,3,product_id does not exist in trusted products,2026-08-06T09:37:35.194035Z,3,136,138,1,71.51
order_items_raw.csv,5,4,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,4,23,58,2,311.44
order_items_raw.csv,6,5,order_id does not exist in trusted orders; product_id does not exist in trusted products,2026-08-06T09:37:35.194035Z,5,27,80,2,128.98
order_items_raw.csv,7,6,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,6,5,25,1,463.52
order_items_raw.csv,8,7,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,7,67,5,2,419.48
order_items_raw.csv,9,8,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,8,119,134,5,122.99
order_items_raw.csv,10,9,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,9,27,90,4,435.42
order_items_raw.csv,11,10,product_id does not exist in trusted products,2026-08-06T09:37:35.194035Z,10,12,70,2,65.91
order_items_raw.csv,12,11,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,11,150,129,4,381.95
order_items_raw.csv,13,12,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,12,32,32,1,205.8
order_items_raw.csv,14,13,order_id does not exist in trusted orders; product_id does not exist in trusted products,2026-08-06T09:37:35.194035Z,13,139,152,2,117.58
order_items_raw.csv,15,14,order_id does not exist in trusted orders; product_id does not exist in trusted products,2026-08-06T09:37:35.194035Z,14,38,172,2,288.56
order_items_raw.csv,16,15,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,15,43,5,4,469.1
order_items_raw.csv,17,16,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,16,178,108,4,300.53
order_items_raw.csv,19,18,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,18,199,93,1,172.58
order_items_raw.csv,20,19,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,19,215,86,2,359.19
order_items_raw.csv,21,20,order_id does not exist in trusted orders; quantity must be greater than zero,2026-08-06T09:37:35.194035Z,20,206,83,0,408.45
order_items_raw.csv,22,21,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,21,14,84,5,261.1
order_items_raw.csv,23,22,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,22,64,109,3,333.24
order_items_raw.csv,24,23,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,23,94,28,1,267.75
order_items_raw.csv,25,24,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,24,84,111,1,104.39
order_items_raw.csv,26,25,order_id does not exist in trusted orders; product_id does not exist in trusted products,2026-08-06T09:37:35.194035Z,25,58,36,1,213.26
