source_file,source_row_number,record_key,invalid_reasons,processed_at,raw_payment_id,raw_order_id,raw_payment_date,raw_amount,raw_currency,raw_status,raw_payment_method
payments_raw.csv,2,1,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,1,62,2026-03-02,233.28,EUR,Refunded,PayPal
payments_raw.csv,3,2,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,2,21,2026-03-03,54.87,eur,PAID,Card
payments_raw.csv,4,3,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,3,2,2026-03-04,649.48,Usd,Refunded,Card
payments_raw.csv,5,4,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,4,8,2026-03-05,223.8,EUR,FAILED,Card
payments_raw.csv,6,5,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,5,104,2026-03-06,264.02,EUR,paid,PayPal
payments_raw.csv,7,6,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,6,15,2026-03-07,546.38,Usd,Refunded,Cash
payments_raw.csv,8,7,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,7,199,2026-03-08,639.05,EUR,FAILED,Cash
payments_raw.csv,9,8,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,8,119,2026-03-09,790.38,EURO,FAILED,Card
payments_raw.csv,10,9,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,9,15,2026-03-10,30.34,Usd,FAILED,Cash
payments_raw.csv,11,10,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,10,24,2026-03-11,495.03,Usd,Refunded,Card
payments_raw.csv,12,11,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,11,92,2026-03-12,133.39,eur,PAID,Cash
payments_raw.csv,14,13,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,13,199,2026-03-14,498.75,EURO,PAID,PayPal
payments_raw.csv,15,14,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,14,93,2026-03-15,254.31,EURO,FAILED,PayPal
payments_raw.csv,17,16,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,16,39,2026-03-17,450.92,EUR,FAILED,PayPal
payments_raw.csv,18,17,order_id does not exist in trusted orders,2026-08-06T09:37:35.194035Z,17,160,2026-03-18,190.25,EUR,PAID,Card
