order_id,customer_id,order_date,status,shipping_city,payment_method
1,73,2026-02-02,NEW,Ferizaj,Cash
2,197,2026-02-03,X,Gjilan,PayPal
3,191,2026-02-04,NEW,Mitrovica,Card
4,112,2026-02-05,NEW,Ferizaj,Cash
5,181,2026-02-06,NEW,Vushtrri,PayPal
6,56,2026-02-07,NEW,Gjilan,Card
7,112,2026-02-08,NEW,Vushtrri,Card
8,74,2026-02-09,NEW,Prishtina,Cash
9,126,2026-02-10,NEW, Gjakova ,PayPal
10,204,2026-02-11,Completed, Gjakova ,PayPal
11,89,2026-02-12,completed,Prizren,Cash
12,55,2026-02-13,Completed, Gjakova ,Card
13,29,2026-02-14,NEW, Gjakova ,PayPal
14,144,2026-02-15,NEW,Ferizaj,Cash
15,25,2026-02-16,X,Mitrovica,PayPal
16,23,2026-02-17,X,Prishtina,
17,96,2026-02-18,Completed,Gjilan,Cash
18,110,2026-02-19,Completed,Mitrovica,PayPal
19,60,2026-02-20,X,Prizren,PayPal
20,153,2026-02-21,NEW,Ferizaj,PayPal
21,84,2026-02-22,Completed, Gjakova ,PayPal
22,142,2026-02-23,completed,Prizren,Cash
23,113,2026-02-24,completed,Peja,Card
24,86,2026-02-25,X,Peja,PayPal
25,50,2026-02-26,completed,Gjilan,PayPal
26,159,2026-02-27,Completed,Prizren,Card
27,186,2026-02-28,completed,Vushtrri,Cash
28,42,2026-02-01,Completed,Ferizaj,Card
29,67,bad-date,NEW,Prizren,PayPal
30,27,2026-02-03,Completed,Mitrovica,Card
31,38,2026-02-04,completed,Gjilan,Cash
32,71,2026-02-05,Completed,prishtina,
33,164,2026-02-06,NEW,Gjilan,Card
34,100,2026-02-07,X,Prishtina,Card
35,103,2026-02-08,X,Peja,PayPal
36,162,2026-02-09,completed, Gjakova ,Card
37,37,2026-02-10,completed,Mitrovica,Card
38,190,2026-02-11,Completed,Mitrovica,PayPal
39,147,2026-02-12,X,Peja,PayPal
40,185,2026-02-13,Completed,Prizren,PayPal
41,32,2026-02-14,X,Mitrovica,Cash
42,67,2026-02-15,NEW,Mitrovica,Card
43,201,2026-02-16,X,Prizren,Cash
44,109,2026-02-17,X, Gjakova ,Card
45,160,2026-02-18,X,Vushtrri,PayPal
46,170,2026-02-19,Completed,Ferizaj,Card
47,100,2026-02-20,X,prishtina,Card
48,65,2026-02-21,Completed,Prizren,
49,184,2026-02-22,Completed,Vushtrri,Cash
49,26,2026-02-23,X,Vushtrri,Card
51,184,2026-02-24,X,Vushtrri,Card
52,164,2026-02-25,completed,Vushtrri,Cash
53,106,2026-02-26,X,Peja,PayPal
54,48,2026-02-27,X,Vushtrri,Card
55,187,2026-02-28,completed,Prishtina,Cash
56,71,2026-02-01,X,Mitrovica,Card
57,4,2026-02-02,NEW,Mitrovica,Cash
58,161,bad-date,completed,Gjilan,Card
59,58,2026-02-04,completed,Mitrovica,PayPal
60,57,2026-02-05,X, Gjakova ,Card
61,43,2026-02-06,Completed,prishtina,PayPal
62,50,2026-02-07,X,Vushtrri,PayPal
63,58,2026-02-08,Completed,Ferizaj,PayPal
64,164,2026-02-09,X, Gjakova ,
65,76,2026-02-10,Completed, Gjakova ,Cash
66,201,2026-02-11,Completed,Gjilan,PayPal
67,97,2026-02-12,completed,Mitrovica,PayPal
68,48,2026-02-13,X,Prishtina,PayPal
69,205,2026-02-14,completed,Ferizaj,Card
70,168,2026-02-15,completed,Ferizaj,Cash
71,125,2026-02-16,X,prishtina,PayPal
72,93,2026-02-17,Completed,Gjilan,Cash
73,15,2026-02-18,NEW,Ferizaj,Card
74,136,2026-02-19,completed,Prishtina,PayPal
75,3,2026-02-20,Completed,prishtina,PayPal
76,76,2026-02-21,completed,prishtina,PayPal
77,37,2026-02-22,Completed,Prizren,Cash
