order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total
17,135,10,5,200.84,0.0,1004.2
42,57,49,3,258.66,0.0,775.98
48,113,169,3,35.7,0.0,107.1
49,214,113,4,180.29,0.0,721.16
51,107,87,2,335.78,0.0,671.56
61,135,143,4,299.73,0.0,1198.92
93,20,44,1,474.18,0.0,474.18
101,113,14,1,311.99,0.0,311.99
104,78,108,4,303.26,0.0,1213.04
106,57,106,5,158.03,0.0,790.15
107,6,63,4,48.3,0.0,193.2
126,189,99,3,19.21,0.0,57.63
146,11,150,3,305.66,0.0,916.98
149,107,178,1,373.25,0.0,373.25
174,193,125,4,46.57,0.0,186.28
189,188,41,4,497.84,0.0,1991.36
214,57,65,1,326.59,0.0,326.59
222,213,176,4,199.02,0.0,796.08
234,91,26,5,181.09,0.0,905.45
242,114,4,3,17.26,0.0,51.78
251,187,120,3,169.03,0.0,507.09
265,184,104,5,170.54,0.0,852.7
