payment_id,order_id,payment_date,amount,currency,status,payment_method
12,59,2026-03-13,344.35,EUR,failed,paypal
15,65,2026-03-16,428.41,USD,refunded,card
26,6,2026-03-27,689.66,EUR,failed,cash
28,77,2026-03-01,267.58,EUR,failed,cash
33,12,2026-03-06,707.46,EUR,failed,cash
36,193,2026-03-09,129.13,USD,paid,card
37,107,2026-03-10,376.94,EUR,paid,cash
42,135,2026-03-15,105.17,EUR,refunded,cash
57,61,2026-03-02,684.24,USD,paid,paypal
62,135,2026-03-07,799.53,EUR,failed,card
65,98,2026-03-10,695.55,EUR,failed,cash
68,170,2026-03-13,533.77,USD,paid,card
74,184,2026-03-19,55.61,EUR,failed,paypal
77,159,2026-03-22,169.33,EUR,failed,cash
85,107,2026-03-02,375.41,EUR,paid,cash
95,138,2026-03-12,419.39,EUR,refunded,cash
105,187,2026-03-22,643.94,EUR,paid,cash
109,57,2026-03-26,453.24,EUR,paid,paypal
112,107,2026-03-01,169.29,EUR,paid,card
114,11,2026-03-03,132.32,EUR,refunded,card
130,186,2026-03-19,151.3,USD,paid,paypal
145,170,2026-03-06,96.59,EUR,paid,paypal
147,11,2026-03-08,67.71,USD,paid,card
152,57,2026-03-13,618.44,EUR,refunded,paypal
154,193,2026-03-15,39.81,USD,paid,paypal
163,170,2026-03-24,712.73,EUR,paid,cash
170,170,2026-03-03,157.96,EUR,paid,paypal
176,63,2026-03-09,17.16,EUR,paid,cash
178,193,2026-03-11,787.77,EUR,refunded,cash
179,114,2026-03-12,536.38,EUR,failed,cash
180,170,2026-03-13,766.7,USD,failed,paypal
183,80,2026-03-16,104.05,EUR,paid,paypal
188,207,2026-03-21,30.39,EUR,paid,paypal
194,159,2026-03-27,225.16,EUR,refunded,cash
199,193,2026-03-04,608.09,EUR,paid,card
200,136,2026-03-05,227.56,USD,paid,cash
219,11,2026-03-24,56.69,EUR,paid,paypal
