product_id,product_name,category,price,stock_quantity,supplier_id,status,currency
1,Product 1,Accessories,232.19,64,9,active,EUR
2,Product 2,Laptop,108.87,26,19,active,EUR
3,Product 3,Accessories,75.16,67,12,active,EUR
4,Product 4,Monitor,303.67,80,9,active,EUR
5,Product 5,Accessories,353.15,29,16,active,EUR
6,Product 6,Accessories,17.29,0,15,active,EUR
7,Product 7,Accessories,154.47,18,12,active,EUR
8,Product 8,Laptop,161.46,42,11,active,EUR
10,Product 10,Laptop,148.47,47,13,active,EUR
11,Product 11,Laptop,499.4,75,12,active,EUR
12,Product 12,Accessories,379.05,6,4,active,EUR
13,Product 13,Laptop,418.16,36,8,active,EUR
14,Product 14,Laptop,220.94,40,12,active,EUR
16,Product 16,Laptop,105.7,10,14,active,EUR
18,Product 18,Laptop,456.39,70,6,active,EUR
22,Product 22,Laptop,200.21,21,3,active,EUR
24,Product 24,Accessories,453.6,97,14,active,EUR
25,Product 25,Laptop,276.15,31,6,active,EUR
26,Product 26,Laptop,280.16,40,12,active,EUR
27,Product 27,Laptop,405.63,25,14,active,EUR
28,Product 28,Laptop,209.87,67,13,active,EUR
31,Product 31,Laptop,396.2,27,9,active,EUR
32,Product 32,Accessories,195.36,82,14,active,EUR
33,Product 33,Laptop,425.1,2,2,active,EUR
40,Product 40,Accessories,129.64,81,4,active,EUR
41,Product 41,Monitor,39.82,67,7,active,EUR
42,Product 42,Laptop,134.14,76,,active,EUR
44,Product 44,Accessories,420.51,31,17,active,EUR
45,Product 45,Accessories,275.77,3,10,active,EUR
47,Product 47,Accessories,117.78,54,8,active,EUR
49,Product 49,Accessories,201.2,0,17,active,EUR
50,Product 50,Accessories,106.58,25,7,active,EUR
52,Product 52,Laptop,250.4,23,16,active,EUR
53,Product 53,Monitor,455.65,7,5,active,EUR
54,Product 54,Monitor,31.91,3,5,active,EUR
55,Product 55,Laptop,30.66,7,13,active,EUR
56,Product 56,Laptop,449.59,40,3,active,EUR
58,Product 58,Accessories,159.35,92,12,active,EUR
59,Product 59,Laptop,224.01,13,3,active,EUR
60,Product 60,Laptop,44.98,53,18,active,EUR
61,Product 61,Accessories,193.16,98,14,active,EUR
63,Product 63,Accessories,460.16,24,,active,EUR
64,Product 64,Laptop,369.97,60,14,active,EUR
65,Product 65,Accessories,406.85,98,2,active,EUR
66,Product 66,Laptop,22.25,8,9,active,EUR
67,Product 67,Accessories,374.91,77,12,active,EUR
71,Product 71,Accessories,58.09,91,13,active,EUR
72,Product 72,Laptop,457.2,63,16,active,EUR
75,Product 75,Accessories,44.11,25,6,active,EUR
77,Product 77,Accessories,274.59,20,4,active,EUR
78,Product 78,Laptop,136.12,10,4,active,EUR
79,Product 79,Accessories,251.75,90,6,active,EUR
81,Product 81,Laptop,271.59,99,10,active,EUR
83,Product 83,Laptop,133.87,56,6,active,EUR
84,Product 84,Monitor,121.57,36,,active,EUR
86,Product 86,Laptop,265.52,83,15,active,EUR
87,Product 87,Laptop,55.65,60,15,active,EUR
88,Product 88,Laptop,24.98,37,4,active,EUR
89,Product 89,Laptop,98.84,74,3,active,EUR
90,Product 90,Accessories,258.77,22,20,active,EUR
93,Product 93,Laptop,187.51,18,7,active,EUR
94,Product 94,Laptop,23.93,93,1,active,EUR
96,Product 96,Accessories,43.58,4,18,active,EUR
97,Product 97,Accessories,36.32,12,18,active,EUR
99,Product 99,Accessories,139.23,36,14,active,EUR
100,Product 100,Accessories,159.62,72,14,active,EUR
101,Product 101,Accessories,14.02,98,7,active,EUR
103,Product 103,Accessories,214.76,11,19,active,EUR
104,Product 104,Laptop,233.15,20,1,active,EUR
106,Product 106,Monitor,288.57,47,6,active,EUR
107,Product 107,Monitor,177.23,20,6,active,EUR
108,Product 108,Laptop,58.85,62,10,active,EUR
109,Product 109,Accessories,419.46,5,11,active,EUR
111,Product 111,Laptop,312.07,20,20,active,EUR
113,Product 113,Monitor,112.98,51,6,active,EUR
117,Product 117,Laptop,212.94,74,14,active,EUR
118,Product 118,Monitor,331.13,57,15,active,EUR
120,Product 120,Accessories,226.18,79,6,active,EUR
121,Product 121,Laptop,203.17,8,12,active,EUR
124,Product 124,Monitor,160.29,92,3,active,EUR
125,Product 125,Laptop,377.27,48,1,active,EUR
126,Product 126,Laptop,498.08,93,,active,EUR
129,Product 129,Accessories,379.31,20,20,active,EUR
131,Product 131,Laptop,482.34,61,19,active,EUR
132,Product 132,Accessories,309.85,30,12,active,EUR
134,Product 134,Laptop,167.27,48,9,active,EUR
137,Product 137,Accessories,316.74,50,9,active,EUR
143,Product 143,Accessories,218.96,65,2,active,EUR
144,Product 144,Laptop,246.76,78,1,active,EUR
146,Product 146,Accessories,181.79,28,19,active,EUR
148,Product 148,Laptop,415.09,20,1,active,EUR
150,Product 150,Accessories,76.62,85,13,active,EUR
154,Product 154,Laptop,268.11,51,8,active,EUR
156,Product 156,Laptop,277.71,25,14,active,EUR
159,Product 159,Accessories,29.0,92,18,active,EUR
164,Product 164,Monitor,279.12,55,9,active,EUR
165,Product 165,Laptop,322.79,27,17,active,EUR
168,Product 168,Monitor,123.39,80,,active,EUR
169,Product 169,Laptop,238.71,67,1,active,EUR
173,Product 173,Laptop,464.83,44,1,active,EUR
176,Product 176,Accessories,446.18,8,4,active,EUR
178,Product 178,Accessories,48.3,96,16,active,EUR
179,Product 179,Laptop,70.66,96,10,active,EUR
180,Product 180,Laptop,171.58,33,12,active,EUR
